L,LDOS_enh
1,1.98273
1.05,2.11272
1.1,2.22917
1.15,2.34333
1.2,2.52642
1.25,2.77062
1.3,3.05764
1.35,3.39943
1.4,3.81699
1.45,4.33195
1.5,4.9667
1.55,5.74521
1.6,6.69169
1.65,7.82576
1.7,9.15164
1.75,10.6703
1.8,12.3758
1.85,14.2274
1.9,16.173
1.95,18.1472
2,20.0521
2.05,21.7956
2.1,23.2943
2.15,24.5621
2.2,25.6763
2.25,26.7154
2.3,27.7526
2.35,28.8075
2.4,29.8677
2.45,30.9206
2.5,31.9535
2.55,32.9581
2.6,33.9346
2.65,34.8843
2.7,35.8086
2.75,36.7089
2.8,37.589
2.85,38.4554
2.9,39.3148
2.95,40.1738
3,41.0379
3.05,41.905
3.1,42.769
3.15,43.6239
3.2,44.4637
3.25,45.2836
3.3,46.0835
3.35,46.8647
3.4,47.6283
3.45,48.3754
3.5,49.1073
3.55,49.8251
3.6,50.53
3.65,51.2231
3.7,51.9056
3.75,52.5786
3.8,53.2427
3.85,53.8983
3.9,54.5458
3.95,55.1857
4,55.8185
4.05,56.4451
4.1,57.0666
4.15,57.684
4.2,58.2987
4.25,58.911
4.3,59.5202
4.35,60.1253
4.4,60.7253
4.45,61.3191
4.5,61.9058
4.55,62.4842
4.6,63.0534
4.65,63.6123
4.7,64.1599
4.75,64.6952
4.8,65.2182
4.85,65.7298
4.9,66.2312
4.95,66.7234
5,67.2076
5.05,67.6849
5.1,68.1564
5.15,68.6231
5.2,69.0862
5.25,69.5469
5.3,70.0057
5.35,70.4617
5.4,70.9133
5.45,71.359
5.5,71.7974
5.55,72.2269
5.6,72.6466
5.65,73.0565
5.7,73.4564
5.75,73.8462
5.8,74.2258
5.85,74.5945
5.9,74.9486
5.95,75.2829
6,75.5925
