Length_along_cut,|E|^2
0,0.774005
0.0125377,0.688415
0.0250755,0.610375
0.0376132,0.531136
0.050151,0.453941
0.0626887,0.387795
0.0752265,0.323686
0.0877642,0.272441
0.100302,0.222995
0.11284,0.184298
0.125377,0.147176
0.137915,0.119473
0.150453,0.093116
0.162991,0.0746796
0.175528,0.0573575
0.188066,0.0465158
0.200604,0.0365304
0.213142,0.0311887
0.225679,0.0264424
0.238217,0.0243939
0.250755,0.0227412
0.263293,0.0228824
0.27583,0.0232742
0.288368,0.0248503
0.300906,0.026557
0.313444,0.0289206
0.325981,0.0312786
0.338519,0.0335124
0.351057,0.0355946
0.363595,0.0365778
0.376132,0.0372805
0.38867,0.0361127
0.401208,0.0345972
0.413746,0.0310628
0.426283,0.0272084
0.438821,0.021963
0.451359,0.0165435
0.463896,0.0112726
0.476434,0.00609638
0.488972,0.00346623
0.50151,0.00130365
0.514047,0.00470544
0.526585,0.00900842
0.539123,0.0221134
0.551661,0.0365499
0.564198,0.062759
0.576736,0.0903725
0.589274,0.13
0.601812,0.16983
0.614349,0.210906
0.626887,0.252395
0.639425,0.296578
0.651963,0.341166
0.6645,0.388155
0.677038,0.435463
0.689576,0.484494
0.702114,0.533651
0.714651,0.583317
0.727189,0.632798
0.739727,0.680974
0.752265,0.728626
0.764802,0.773173
0.77734,0.816835
0.789878,0.855568
0.802416,0.892834
0.814953,0.922348
0.827491,0.950221
0.840029,0.969697
0.852567,0.987156
0.865104,0.994717
0.877642,1
0.89018,0.99452
0.902717,0.986645
0.915255,0.967851
0.927793,0.946712
0.940331,0.915232
0.952868,0.881637
0.965406,0.838989
0.977944,0.794624
0.990482,0.743121
1.00302,0.690454
1.01556,0.633052
1.02809,0.575155
1.04063,0.515238
1.05317,0.455567
1.06571,0.396698
1.07825,0.338832
1.09078,0.284481
1.10332,0.231843
1.11586,0.185124
1.1284,0.140721
1.14093,0.104144
1.15347,0.0703271
1.16601,0.0456078
1.17855,0.0238895
1.19109,0.0118129
1.20362,0.00274708
1.21616,0.00311255
1.2287,0.00625879
1.24124,0.0179024
1.25377,0.0318025
1.26631,0.0524351
1.27885,0.0740955
1.29139,0.098769
1.30393,0.123624
1.31646,0.149039
1.329,0.173926
1.34154,0.197409
1.35408,0.219802
1.36661,0.239322
1.37915,0.257249
1.39169,0.271054
1.40423,0.282902
1.41676,0.289794
1.4293,0.294516
1.44184,0.293871
1.45438,0.291052
1.46692,0.282975
1.47945,0.272933
1.49199,0.258247
1.50453,0.242007
1.51707,0.222176
1.5296,0.201375
1.54214,0.178377
1.55468,0.155117
1.56722,0.131266
1.57976,0.107923
1.59229,0.0856863
1.60483,0.0647317
1.61737,0.0464434
1.62991,0.0301202
1.64244,0.0178174
1.65498,0.00802379
1.66752,0.00325387
1.68006,0.00133587
1.6926,0.00500311
1.70513,0.0116206
1.71767,0.0238887
1.73021,0.0388619
1.74275,0.0588856
1.75528,0.0805453
1.76782,0.105184
1.78036,0.130473
1.7929,0.156907
1.80543,0.182985
1.81797,0.20841
1.83051,0.232552
1.84305,0.254456
1.85559,0.274362
1.86812,0.290876
1.88066,0.304944
1.8932,0.314956
1.90574,0.322225
1.91827,0.32504
1.93081,0.325168
1.94335,0.321027
1.95589,0.314298
1.96843,0.303546
1.98096,0.290486
1.9935,0.273917
2.00604,0.25554
2.01858,0.234477
2.03111,0.212297
2.04365,0.188499
2.05619,0.164416
2.06873,0.139942
2.08127,0.116091
2.0938,0.0931352
2.10634,0.0717148
2.11888,0.0524261
2.13142,0.0355108
2.14395,0.0218125
2.15649,0.0111759
2.16903,0.00459822
2.18157,0.00155407
2.1941,0.00309491
2.20664,0.00836323
2.21918,0.0183663
2.23172,0.0318869
2.24426,0.0497789
2.25679,0.0701531
2.26933,0.0935378
2.28187,0.118112
2.29441,0.144088
2.30694,0.170058
2.31948,0.196002
2.33202,0.220766
2.34456,0.244156
2.3571,0.265452
2.36963,0.284345
2.38217,0.300315
