L,w
6.18335,0.08
6.1,0.0830426
5.80802,0.0860851
5.52543,0.0891277
5.2517,0.0921702
4.98629,0.0952128
4.72872,0.0982553
4.4785,0.101298
4.23518,0.10434
4.19355,0.107383
3.96074,0.110426
3.92494,0.113468
3.7015,0.116511
3.67081,0.119553
3.4557,0.122596
3.42947,0.125638
3.22179,0.128681
3.19947,0.131723
3.1782,0.134766
2.9795,0.137809
2.96149,0.140851
2.94432,0.143894
2.92793,0.146936
2.7388,0.149979
2.72501,0.153021
2.71186,0.156064
2.69931,0.159106
2.51798,0.162149
2.5075,0.165191
2.49751,0.168234
2.48798,0.171277
2.47889,0.174319
2.47021,0.177362
2.46192,0.180404
2.29052,0.183447
2.28371,0.186489
2.2772,0.189532
2.271,0.192574
2.26509,0.195617
2.25945,0.19866
2.25407,0.201702
2.24893,0.204745
2.24404,0.207787
2.23937,0.21083
1.60361,0.213872
1.60135,0.216915
2.0702,0.219957
1.91062,0.223
